car_id,company,model,year,kilometers_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,Price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified,price_with_gst,is_synthetic
1.0,Hyundai,Hyundai Santro Xing,2007,45000,Petrol,Manual,3rd,Poor,No,1.0,4.0,1257.0,85.0,80000.0,Mumbai,BS-III,No,Low,84925.8,Dealer,No,,
2.0,Mahindra,Mahindra Jeep CL550,2006,40,Diesel,Manual,1st,Excellent,Yes,1.0,4.0,2035.0,109.0,425000.0,Pune,BS-III,Yes,Medium,453045.57,Dealer,Yes,,
3.0,Hyundai,Hyundai Grand i10,2014,28000,Petrol,Automatic,4th+,Poor,No,1.0,4.0,1155.0,113.0,325000.0,Hyderabad,BS-IV,No,Low,355906.74,Dealer,No,,
4.0,Ford,Ford EcoSport Titanium,2014,36000,Diesel,Automatic,2nd,Fair,No,0.0,4.0,1113.0,90.0,575000.0,Hyderabad,BS-IV,Yes,High,596615.27,Dealer,No,,
5.0,Ford,Ford Figo,2012,41000,Diesel,Automatic,2nd,Good,Yes,0.0,4.0,1286.0,93.0,175000.0,Pune,BS-IV,Yes,High,156150.67,Individual,No,,
6.0,Hyundai,Hyundai Eon,2013,25000,Petrol,Automatic,2nd,Fair,Yes,0.0,4.0,1383.0,84.0,190000.0,Mumbai,BS-IV,Yes,Low,190132.79,Individual,No,,
7.0,Ford,Ford EcoSport Ambiente,2016,24530,Diesel,Automatic,2nd,Excellent,Yes,0.0,4.0,1330.0,68.0,830000.0,Bangalore,BS-IV,Yes,High,814942.01,Individual,No,,
8.0,Maruti,Maruti Suzuki Alto,2015,60000,Petrol,Automatic,3rd,Good,No,4.0,4.0,1561.0,92.0,250000.0,Hyderabad,BS-IV,Yes,Low,257016.28,Individual,No,,
9.0,Skoda,Skoda Fabia Classic,2010,60000,Petrol,Automatic,3rd,Excellent,No,4.0,4.0,2015.0,349.0,182000.0,Hyderabad,BS-IV,Yes,High,206554.92,Dealer,Yes,,
10.0,Maruti,Maruti Suzuki Stingray,2015,30000,Petrol,Automatic,2nd,Excellent,No,0.0,4.0,840.0,93.0,315000.0,Bangalore,BS-IV,Yes,Medium,361361.48,Individual,No,,
11.0,Hyundai,Hyundai Elite i20,2014,32000,Petrol,Manual,3rd,Poor,No,0.0,4.0,1330.0,59.0,415000.0,Pune,BS-IV,No,Low,404099.95,Dealer,No,,
12.0,Mahindra,Mahindra Scorpio SLE,2015,48660,Diesel,Manual,3rd,Good,No,3.0,5.0,2397.0,175.0,320000.0,Kolkata,BS-IV,Yes,Low,287577.43,Dealer,Yes,,
13.0,Hyundai,Hyundai Santro Xing,2007,45000,Petrol,Manual,2nd,Excellent,No,0.0,4.0,1025.0,94.0,80000.0,Pune,BS-III,Yes,Medium,91590.54,Dealer,Yes,,
14.0,Mahindra,Mahindra Jeep CL550,2006,40,Diesel,Manual,3rd,Excellent,No,0.0,4.0,2356.0,174.0,425000.0,Pune,BS-III,Yes,Low,372622.35,Dealer,Yes,,
15.0,Audi,Audi A8,2017,4000,Petrol,Manual,2nd,Poor,Yes,0.0,4.0,1485.0,203.0,1000000.0,Hyderabad,BS-IV,No,High,891395.45,Individual,No,,
16.0,Audi,Audi Q7,2014,16934,Diesel,Manual,1st,Good,No,4.0,4.0,2187.0,286.0,500000.0,Delhi,BS-IV,Yes,Medium,497048.64,Individual,No,,
17.0,Mahindra,Mahindra Scorpio S10,2016,43000,Diesel,Manual,1st,Fair,Yes,1.0,5.0,2207.0,132.0,350000.0,Mumbai,BS-IV,Yes,Low,307391.06,Dealer,No,,
