car_id,company,model,year,kms_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,Price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified
583,Mahindra,Mahindra Scorpio 2.6,2009,46104,Petrol,Automatic,1st,Excellent,Yes,2,4,990,62,240662,Pune,BS-IV,Yes,High,28289.81,Individual,No
212,Renault,Renault Kwid 1.0,2017,34273,Diesel,Manual,1st,Excellent,No,1,4,1816,137,194322,Pune,BS-III,Yes,Medium,919758.0599211002,Dealer,Yes
1,Tata,Tata Indica V2,2013,29864,Petrol,Manual,2nd,Poor,Yes,0,4,1565,63,773999,Kolkata,BS-III,No,High,623755.6241889831,Individual,Yes
704,Hyundai,Hyundai i20 Magna,2006,71829,Diesel,Automatic,2nd,Fair,No,2,4,1497,174,790251,Mumbai,BS-III,No,Low,594042.6291938411,Dealer,Yes
4,Hyundai,Hyundai Eon Magna,2013,71102,Diesel,Manual,4th+,Poor,Yes,0,4,1327,84,830352,Hyderabad,BS-III,No,Low,372261.0725640795,Individual,No
1,Ford,Ford Fiesta,2015,44747,Petrol,Automatic,4th+,Fair,Yes,2,4,800,173,264497,Chennai,BS-II,No,Medium,1278999.6438699097,Dealer,Yes
393,Maruti,Maruti Suzuki Swift,2010,57293,Petrol,Automatic,2nd,Fair,No,2,4,2436,153,30000,Hyderabad,BS-III,Yes,Medium,1075143.6301733698,Dealer,Yes
720,Hyundai,Hyundai Verna 1.6,2012,41916,Diesel,Manual,2nd,Excellent,No,2,4,1879,121,588312,Bangalore,BS-III,No,Medium,503049.93491616624,Individual,No
486,Tata,Tata Indigo eCS,2011,42291,Petrol,Manual,2nd,Fair,No,2,4,1699,45,211460,Bangalore,BS-III,No,High,450454.30961643264,Individual,No
437,Datsun,Datsun GO T,2014,41587,Diesel,Automatic,1st,Good,Yes,0,4,1624,126,654996,Pune,BS-III,No,Low,28289.81,Individual,No
765,Hyundai,Hyundai Eon D,2014,72227,Diesel,Manual,1st,Poor,Yes,1,4,1884,70,30000,Hyderabad,BS-III,No,Low,422047.2574018616,Individual,No
1,Renault,Renault Kwid 1.0,2011,94208,Diesel,Manual,1st,Excellent,No,1,4,2160,73,30000,Kolkata,BS-III,Yes,Medium,595223.2544330604,Dealer,Yes
662,Ford,Ford EcoSport Trend,2018,28080,Diesel,Manual,3rd,Excellent,Yes,1,4,1117,100,1038900,Mumbai,BS-III,No,Medium,28289.81,Dealer,Yes
415,Toyota,Toyota Corolla Altis,2014,39891,Petrol,Manual,4th+,Excellent,Yes,0,4,1312,121,435412,Kolkata,BS-III,No,Low,1095685.070213521,Individual,No
797,Tata,Tata Indigo eCS,2006,40903,Petrol,Manual,3rd,Excellent,Yes,0,5,2147,119,313345,Kolkata,BS-III,No,Medium,28289.81,Individual,No
289,Volkswagen,Volkswagen Polo Highline,2012,65816,Diesel,Manual,1st,Good,No,0,4,1171,130,30000,Bangalore,BS-IV,No,Low,562249.8060629468,Dealer,Yes
122,Hyundai,Hyundai Verna 1.6,2015,41662,LPG,Manual,1st,Fair,No,2,4,1094,104,635678,Bangalore,BS-III,No,Low,581299.7323778137,Dealer,Yes
255,Maruti,Maruti Suzuki Alto,2008,79818,Diesel,Automatic,4th+,Poor,No,1,4,1319,160,30000,Pune,BS-III,No,Low,619706.7436630079,Dealer,Yes
82,Renault,Renault Duster 110PS,2012,26259,Petrol,Manual,3rd,Poor,No,1,4,2619,57,98285,Pune,BS-IV,No,Medium,1012862.4306215299,Individual,Yes
371,Honda,Honda Brio,2012,24302,Diesel,Automatic,3rd,Poor,No,0,4,800,149,30000,Mumbai,BS-III,No,Low,28289.81,Individual,No
574,Maruti,Maruti Suzuki Zen,2012,78,Diesel,Manual,1st,Good,No,0,4,1343,167,734171,Hyderabad,BS-III,Yes,High,479236.9919341596,Individual,Yes
552,Honda,Honda City 1.5,2011,47969,Diesel,Automatic,4th+,Poor,Yes,0,5,2159,113,845299,Chennai,BS-IV,No,High,506023.9703000244,Dealer,Yes
583,Hyundai,Hyundai Elite i20,2014,51765,Diesel,Automatic,3rd,Fair,Yes,1,4,1611,67,283974,Delhi,BS-III,Yes,Low,1021713.5295317098,Dealer,Yes
1,Toyota,Toyota Etios Liva,2010,59611,Petrol,Automatic,1st,Poor,Yes,2,4,1836,130,285934,Chennai,BS-II,No,Low,796000.45268166,Dealer,Yes
241,Maruti,Maruti Suzuki Swift,2015,0,Petrol,Automatic,1st,Excellent,No,0,4,2158,45,388162,Bangalore,BS-III,No,Low,238897.9483034095,Individual,No
558,Toyota,Toyota Innova 2.5,2002,0,Petrol,Manual,3rd,Fair,No,2,4,1801,188,30000,Chennai,BS-IV,Yes,Medium,765874.8057804387,Dealer,Yes
547,Hyundai,Hyundai Grand i10,2008,28415,Diesel,Manual,1st,Good,Yes,1,4,1252,60,756344,Kolkata,BS-II,Yes,Medium,1188059.7935995406,Dealer,Yes
