car_id,company,model,year,kms_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified,car_age
1.0,Mahindra,Thar,2005,194393.0,Cng,Manual,2Nd,Excellent,No,0.0,5.0,3033.0,104.0,50041.0,Hyderabad,Bs4,False,Low,50041.0,Dealer,True,20
2.0,Toyota,Yaris,2005,147127.0,Diesel,Automatic,2Nd,Good,No,0.0,2.0,3908.0,141.0,74667.0,Chennai,Bs4,False,Medium,74667.0,Dealer,True,20
3.0,Honda,City,2007,99595.0,Petrol,Automatic,3Rd,Good,Yes,2.0,5.0,2681.0,334.0,100191.0,Mumbai,Bs4,True,Low,100191.0,Private,False,18
4.0,Mahindra,Thar,2006,173346.0,Diesel,Automatic,1St,Fair,Yes,3.0,4.0,1938.0,292.0,45316.0,Bangalore,Bs3,True,Medium,45316.0,Private,True,19
5.0,Mahindra,Scorpio,2025,18717.0,Hybrid,Manual,2Nd,Excellent,Yes,0.0,5.0,3618.0,345.0,597563.0,Delhi,Bs6,True,Medium,597563.0,Dealer,True,0
6.0,Honda,Amaze,2013,17350.0,Diesel,Automatic,2Nd,Good,Yes,0.0,5.0,2679.0,133.0,193739.0,Bangalore,Bs3,True,Low,193739.0,Private,False,12
7.0,Tata,Tiago,2012,36262.0,Hybrid,Automatic,1St,Fair,Yes,3.0,2.0,3370.0,141.0,159960.0,Chennai,Bs6,True,Low,159960.0,Private,False,13
8.0,Tata,Harrier,2013,145024.0,Petrol,Manual,3Rd,Fair,Yes,0.0,4.0,2580.0,140.0,87611.0,Chennai,Bs3,True,High,87611.0,Private,True,12
9.0,Maruti,Dzire,2014,220638.0,Hybrid,Manual,2Nd,Good,Yes,0.0,5.0,802.0,366.0,149450.0,Bangalore,Bs4,True,Low,149450.0,Dealer,False,11
10.0,Honda,City,2006,63143.0,Hybrid,Manual,1St,Fair,Yes,2.0,5.0,3936.0,124.0,109939.0,Delhi,Bs6,True,Medium,109939.0,Dealer,False,19
11.0,Toyota,Innova,2011,243509.0,Hybrid,Manual,3Rd,Good,Yes,1.0,4.0,2594.0,324.0,37622.0,Chennai,Bs3,True,Low,37622.0,Dealer,True,14
