car_id,company,model,year,kms_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,Price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified
1,Tata,Tata Indica V2,2013,29864,Petrol,Manual,2nd,Poor,Yes,0,4,1565,63,773999,Kolkata,BS-III,No,High,623755.6242,Individual,Yes
1,Ford,Ford Fiesta,2015,44747,Petrol,Automatic,4th+,Fair,Yes,2,4,800,173,264497,Chennai,BS-II,No,Medium,1278999.644,Dealer,Yes
1,Renault,Renault Kwid 1.0,2011,94208,Diesel,Manual,1st,Excellent,No,1,4,2160,73,30000,Kolkata,BS-III,Yes,Medium,595223.2544,Dealer,Yes
1,Toyota,Toyota Etios Liva,2010,59611,Petrol,Automatic,1st,Poor,Yes,2,4,1836,130,285934,Chennai,BS-II,No,Low,796000.4527,Dealer,Yes
1,Chevrolet,Chevrolet Tavera LS,2013,738,Petrol,Automatic,1st,Poor,Yes,0,4,1178,76,578842,Mumbai,BS-IV,Yes,Medium,1098747.258,Individual,No
1,Toyota,Toyota Corolla Altis,2017,48468,Diesel,Manual,4th+,Good,Yes,1,4,1729,170,483970,Bangalore,BS-III,Yes,Medium,28289.81,Individual,Yes
1,Maruti,Maruti Suzuki Alto,2012,74608,Diesel,Manual,1st,Poor,No,1,4,1136,123,30000,Bangalore,BS-III,No,Medium,192841.2929,Individual,No
1,Force,Force Motors Force,2017,86301,Petrol,Automatic,4th+,Good,Yes,0,4,1290,213,53332,Hyderabad,BS-III,Yes,Low,28289.81,Dealer,Yes
1,Renault,Renault Kwid RXT,2004,73778,Diesel,Automatic,4th+,Fair,Yes,1,4,2032,96,247622,Bangalore,BS-III,Yes,Low,28289.81,Individual,Yes
1,Mahindra,Mahindra Scorpio Vlx,2008,0,Petrol,Manual,4th+,Poor,No,1,4,907,125,77067,Kolkata,BS-II,Yes,Low,86399.92997,Dealer,Yes
1,Nissan,Nissan Sunny,2008,10749,Diesel,Automatic,1st,Excellent,No,0,4,1208,45,164383,Pune,BS-III,No,Medium,560362.9046,Dealer,Yes
1,Mahindra,Mahindra TUV300 T4,2012,9915,Petrol,Automatic,1st,Poor,No,2,4,2839,114,270919,Delhi,BS-III,No,Medium,182434.3723,Dealer,Yes
1,Hyundai,Hyundai i10,2009,100557,Diesel,Automatic,4th+,Fair,No,1,4,2136,116,136012,Hyderabad,BS-IV,No,Low,28289.81,Dealer,Yes
1,Nissan,Nissan Terrano XL,2008,46277,Petrol,Automatic,3rd,Excellent,Yes,0,4,800,204,52321,Hyderabad,BS-III,Yes,Low,501736.2276,Individual,Yes
1,Chevrolet,Chevrolet Cruze LTZ,2010,23414,Petrol,Automatic,2nd,Fair,Yes,3,4,1706,96,30000,Mumbai,BS-IV,No,Low,214037.5407,Dealer,Yes
1,Toyota,Toyota Etios,2013,28164,Petrol,Automatic,4th+,Excellent,No,1,4,2153,145,915676,Delhi,BS-III,No,High,282547.6872,Individual,Yes
1,Maruti,Maruti Suzuki Maruti,2012,24569,Diesel,Automatic,2nd,Excellent,Yes,1,4,2996,143,148150,Chennai,BS-IV,Yes,Medium,212828.0331,Individual,Yes
1,Maruti,Maruti Suzuki Ritz,2015,47090,Petrol,Automatic,4th+,Fair,No,1,4,800,128,72847,Bangalore,BS-III,Yes,Low,791524.251,Dealer,Yes
1,Tata,Tata Indigo CS,2013,19655,Petrol,Automatic,1st,Poor,Yes,1,4,800,91,100989,Bangalore,BS-II,No,Low,426201.0457,Dealer,Yes
