car_id,company,model,year,kms_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified
1,Mahindra,Thar,2005,194393,CNG,Manual,2nd,Excellent,No,0,5,3033,104,50041.0,Hyderabad,BS4,False,Low,50041.0,Dealer,True
2,Toyota,Yaris,2005,147127,Diesel,Automatic,2nd,Good,No,0,2,3908,141,74667.0,Chennai,BS4,False,Medium,74667.0,Dealer,True
3,Honda,City,2007,99595,Petrol,Automatic,3rd,Good,Yes,2,5,2681,334,100191.0,Mumbai,BS4,True,Low,100191.0,Private,False
4,Mahindra,Thar,2006,173346,Diesel,Automatic,1st,Fair,Yes,3,4,1938,292,45316.0,Bangalore,BS3,True,Medium,45316.0,Private,True
5,Mahindra,Scorpio,2025,18717,Hybrid,Manual,2nd,Excellent,Yes,0,5,3618,345,597563.0,Delhi,BS6,True,Medium,597563.0,Dealer,True
6,Honda,Amaze,2013,17350,Diesel,Automatic,2nd,Good,Yes,0,5,2679,133,193739.0,Bangalore,BS3,True,Low,193739.0,Private,False
7,Tata,Tiago,2012,36262,Hybrid,Automatic,1st,Fair,Yes,3,2,3370,141,159960.0,Chennai,BS6,True,Low,159960.0,Private,False
8,Tata,Harrier,2013,145024,Petrol,Manual,3rd,Fair,Yes,0,4,2580,140,87611.0,Chennai,BS3,True,High,87611.0,Private,True
9,Maruti,Dzire,2014,220638,Hybrid,Manual,2nd,Good,Yes,0,5,802,366,149450.0,Bangalore,BS4,True,Low,149450.0,Dealer,False
10,Honda,City,2006,63143,Hybrid,Manual,1st,Fair,Yes,2,5,3936,124,109939.0,Delhi,BS6,True,Medium,109939.0,Dealer,False
11,Toyota,Innova,2011,243509,Hybrid,Manual,3rd,Good,Yes,1,4,2594,324,37622.0,Chennai,BS3,True,Low,37622.0,Dealer,True
12,Toyota,Yaris,2012,154256,Diesel,Manual,1st,Fair,Yes,0,2,928,229,65671.0,Mumbai,BS6,True,Low,65671.0,Private,False
13,Hyundai,Verna,2023,151050,Electric,Manual,4th,Fair,Yes,0,2,3499,280,377149.0,Bangalore,BS4,True,Medium,377149.0,Private,True
14,Mahindra,Thar,2006,105544,CNG,Manual,2nd,Excellent,Yes,1,2,2528,153,106487.0,Bangalore,BS4,True,Low,106487.0,Dealer,False
15,Toyota,Fortuner,2006,170955,Hybrid,Manual,1st,Poor,No,2,2,2464,308,30106.0,Chennai,BS3,False,Medium,30106.0,Dealer,True
16,Tata,Tiago,2019,74776,Electric,Automatic,2nd,Excellent,Yes,0,2,3172,337,429560.0,Mumbai,BS6,True,Medium,429560.0,Dealer,True
17,Toyota,Yaris,2010,14910,Hybrid,Manual,2nd,Excellent,Yes,0,2,2453,121,172877.0,Hyderabad,BS3,True,High,172877.0,Dealer,True
18,Toyota,Yaris,2021,82934,CNG,Manual,3rd,Excellent,Yes,0,5,3443,213,363379.0,Chennai,BS4,True,Low,363379.0,Dealer,False
19,Toyota,Fortuner,2007,140937,Diesel,Automatic,2nd,Poor,No,3,2,2313,205,31543.0,Delhi,BS4,False,High,31543.0,Private,True
20,Toyota,Innova,2008,246134,Diesel,Automatic,1st,Fair,Yes,1,2,1915,204,20000.0,Hyderabad,BS3,True,High,20000.0,Private,True
21,Honda,WR-V,2020,65829,Petrol,Manual,4th,Fair,Yes,0,4,3958,126,277968.0,Bangalore,BS3,True,High,277968.0,Private,False
22,Maruti,Swift,2009,143023,Petrol,Automatic,2nd,Good,Yes,0,4,963,243,71295.0,Delhi,BS6,True,Low,71295.0,Dealer,False
23,Tata,Harrier,2009,242683,Diesel,Manual,2nd,Fair,Yes,0,5,2160,270,20000.0,Delhi,BS4,True,Low,20000.0,Dealer,False
24,Tata,Nexon,2011,214063,Electric,Automatic,3rd,Fair,Yes,3,2,896,397,48063.0,Delhi,BS4,True,Medium,48063.0,Private,True
25,Honda,Amaze,2025,133537,Electric,Automatic,1st,Excellent,Yes,5,2,3178,195,609850.0,Mumbai,BS3,True,High,609850.0,Private,False
26,Honda,Amaze,2024,134066,Petrol,Automatic,2nd,Excellent,Yes,1,2,2929,335,427762.0,Delhi,BS4,True,Medium,427762.0,Dealer,False
27,Mahindra,Thar,2014,132939,CNG,Automatic,3rd,Good,Yes,0,2,1585,275,144158.0,Chennai,BS6,True,High,144158.0,Dealer,False
28,Maruti,Baleno,2014,55098,Electric,Automatic,4th,Good,Yes,1,5,2738,146,248889.0,Mumbai,BS4,True,High,248889.0,Private,True
29,Hyundai,Verna,2014,58888,Diesel,Manual,1st,Excellent,Yes,5,5,3947,97,195429.0,Chennai,BS4,True,High,195429.0,Dealer,False
30,Hyundai,i20,2025,180256,Petrol,Manual,4th,Excellent,Yes,2,5,2921,297,415622.0,Mumbai,BS6,True,Low,415622.0,Dealer,False
31,Tata,Harrier,2021,146518,Hybrid,Automatic,4th,Good,Yes,1,5,2547,340,369418.0,Chennai,BS3,True,High,369418.0,Private,False
32,Hyundai,Verna,2013,200753,Hybrid,Automatic,2nd,Excellent,Yes,0,4,1760,199,150120.0,Bangalore,BS4,True,High,150120.0,Dealer,True
33,Tata,Harrier,2009,185183,Diesel,Manual,4th,Good,Yes,1,4,1055,165,42098.0,Chennai,BS4,True,High,42098.0,Dealer,False
34,Honda,Amaze,2017,223726,Electric,Manual,4th,Excellent,Yes,0,2,2392,232,265443.0,Chennai,BS6,True,Low,265443.0,Private,True
35,Toyota,Fortuner,2017,155161,Hybrid,Manual,1st,Good,Yes,0,4,1544,85,250361.0,Bangalore,BS4,True,Medium,250361.0,Dealer,False
36,Tata,Tiago,2018,66131,Petrol,Automatic,1st,Fair,Yes,0,4,1718,392,244967.0,Mumbai,BS6,True,Low,244967.0,Dealer,True
37,Maruti,Dzire,2009,62533,Diesel,Automatic,1st,Good,Yes,0,5,1849,248,114104.0,Delhi,BS6,True,High,114104.0,Dealer,True
38,Maruti,Dzire,2005,243502,CNG,Automatic,4th,Poor,No,0,5,3628,381,20000.0,Delhi,BS3,False,High,20000.0,Private,True
39,Toyota,Fortuner,2016,139655,Electric,Automatic,1st,Good,Yes,0,4,2807,114,240011.0,Chennai,BS4,True,High,240011.0,Private,True
40,Mahindra,Scorpio,2025,70800,Hybrid,Automatic,4th,Good,Yes,1,4,2120,185,564108.0,Mumbai,BS4,True,Medium,564108.0,Dealer,False
41,Mahindra,XUV500,2015,7523,Electric,Automatic,2nd,Good,Yes,0,4,2194,203,270708.0,Hyderabad,BS6,True,Medium,270708.0,Dealer,True
42,Mahindra,XUV500,2020,145536,Diesel,Automatic,4th,Good,Yes,0,4,1707,267,276377.0,Delhi,BS4,True,High,276377.0,Private,False
43,Honda,Amaze,2022,86714,CNG,Automatic,3rd,Good,Yes,0,5,1588,221,366389.0,Mumbai,BS6,True,High,366389.0,Dealer,True
44,Tata,Tiago,2023,199283,Hybrid,Automatic,1st,Fair,Yes,0,4,1534,214,354992.0,Mumbai,BS6,True,High,354992.0,Dealer,False
45,Maruti,Dzire,2014,182823,Diesel,Automatic,1st,Fair,Yes,1,4,2760,285,95746.0,Bangalore,BS3,True,Low,95746.0,Private,False
46,Maruti,Baleno,2020,19420,Hybrid,Manual,2nd,Excellent,Yes,1,4,1148,187,460452.0,Mumbai,BS6,True,Medium,460452.0,Dealer,False
47,Tata,Tiago,2023,112415,CNG,Manual,1st,Poor,No,0,2,1883,398,240369.0,Mumbai,BS3,False,Low,240369.0,Dealer,True
48,Tata,Tiago,2024,123184,CNG,Manual,2nd,Excellent,Yes,0,4,1091,179,408811.0,Bangalore,BS6,True,High,408811.0,Dealer,False
49,Hyundai,Verna,2009,238134,CNG,Manual,1st,Excellent,Yes,2,5,3867,351,38519.0,Bangalore,BS4,True,Low,38519.0,Private,False
50,Honda,WR-V,2022,129445,Electric,Manual,1st,Fair,Yes,1,5,1825,73,366944.0,Mumbai,BS3,True,High,366944.0,Dealer,False
51,Hyundai,Creta,2021,170789,Electric,Automatic,2nd,Poor,No,0,4,1173,300,264104.0,Bangalore,BS4,False,Medium,264104.0,Private,True
52,Honda,Amaze,2020,75554,Electric,Manual,4th,Excellent,Yes,0,2,3964,266,396462.0,Hyderabad,BS3,True,High,396462.0,Private,False
53,Toyota,Innova,2024,198297,Electric,Automatic,1st,Excellent,Yes,1,4,2594,308,517384.0,Mumbai,BS3,True,High,517384.0,Dealer,True
54,Maruti,Dzire,2018,24434,Diesel,Manual,4th,Poor,No,1,2,2841,209,211392.0,Hyderabad,BS6,False,Medium,211392.0,Private,False
55,Hyundai,Creta,2022,37917,Electric,Manual,2nd,Fair,Yes,0,4,2192,319,416631.0,Bangalore,BS3,True,Medium,416631.0,Private,False
56,Tata,Harrier,2020,90472,CNG,Automatic,4th,Poor,No,3,5,1778,352,216964.0,Chennai,BS3,False,Medium,216964.0,Dealer,False
57,Mahindra,XUV500,2017,173982,Diesel,Automatic,1st,Excellent,Yes,4,4,1211,285,240782.0,Mumbai,BS6,True,Medium,240782.0,Dealer,True
58,Mahindra,Thar,2007,123074,CNG,Automatic,4th,Good,Yes,3,5,2985,254,86180.0,Bangalore,BS6,True,High,86180.0,Private,True
59,Hyundai,Verna,2014,59634,Petrol,Automatic,1st,Fair,Yes,1,2,2617,145,160830.0,Bangalore,BS3,True,Low,160830.0,Private,True
60,Honda,Amaze,2009,64014,Hybrid,Automatic,2nd,Excellent,Yes,0,4,3338,183,159599.0,Chennai,BS6,True,Low,159599.0,Dealer,False
61,Tata,Tiago,2005,235643,Electric,Automatic,2nd,Excellent,No,4,5,2025,387,65494.0,Chennai,BS6,False,Medium,65494.0,Private,False
62,Tata,Tiago,2008,62182,Electric,Automatic,3rd,Poor,No,0,5,2421,200,102195.0,Mumbai,BS6,False,High,102195.0,Dealer,False
63,Honda,City,2024,210221,CNG,Manual,2nd,Good,Yes,1,5,3943,397,325931.0,Delhi,BS6,True,Low,325931.0,Dealer,False
64,Maruti,Dzire,2016,191983,Diesel,Manual,3rd,Good,Yes,0,2,1341,336,152738.0,Bangalore,BS6,True,High,152738.0,Private,True
65,Tata,Tiago,2015,210824,Petrol,Automatic,1st,Excellent,Yes,4,5,3766,263,153468.0,Hyderabad,BS4,True,Low,153468.0,Private,True
66,Maruti,Baleno,2016,176377,CNG,Automatic,3rd,Excellent,Yes,0,2,3337,347,221400.0,Bangalore,BS6,True,Low,221400.0,Dealer,False
67,Honda,WR-V,2018,30585,Diesel,Manual,1st,Good,Yes,0,2,1761,335,273861.0,Delhi,BS4,True,Medium,273861.0,Private,False
